fcode,nama stasiun,kode stasiun,kd_prov,kabkot,provinsi,srs_id,objectid
CD01050140,Semadam,-,11,KAB. ACEH TAMIANG,ACEH,WGS 1984,10
CD01050140,Banda Aceh,BNA,11,KOTA BANDA ACEH,ACEH,WGS 1984,11
CD01050140,Ule Lheue,-,11,KOTA BANDA ACEH,ACEH,WGS 1984,12
CD01050140,Lhokseumawe,LSM,11,KOTA LHOKSEUMAWE,ACEH,WGS 1984,13
CD01050140,Kuala Langsa,-,11,KOTA LANGSA,ACEH,WGS 1984,14
CD01050140,Langsa,-,11,KOTA LANGSA,ACEH,WGS 1984,15
CD01050140,Besitang,BSG,12,KAB. LANGKAT,SUMATERA UTARA,WGS 1984,17
CD01050140,Pangkalan Brandan,PBD,12,KAB. LANGKAT,SUMATERA UTARA,WGS 1984,18
CD01050140,Pangkalan Susu,PSU,12,KAB. LANGKAT,SUMATERA UTARA,WGS 1984,19
CD01050140,Ampalu,TJA,13,KAB. SIJUNJUNG,SUMATERA BARAT,WGS 1984,54
CD01050140,Muaro,MRO,13,KAB. SIJUNJUNG,SUMATERA BARAT,WGS 1984,55
CD01050140,Padang Sibusuk,PSK,13,KAB. SIJUNJUNG,SUMATERA BARAT,WGS 1984,56
CD01050140,BATU TABAL,BTL,13,KAB. TANAH DATAR,SUMATERA BARAT,WGS 1984,57
CD01050140,Kubu Kerambil,KKR,13,KAB. TANAH DATAR,SUMATERA BARAT,WGS 1984,59
CD01050140,Pasar Rebo,-,13,KAB. TANAH DATAR,SUMATERA BARAT,WGS 1984,60
CD01050140,Kandang Ampat,KDP,13,KAB. PADANG PARIAMAN,SUMATERA BARAT,WGS 1984,67
CD01050140,Parit Malintang,PRM,13,KAB. PADANG PARIAMAN,SUMATERA BARAT,WGS 1984,68
CD01050140,Sungai Limau,-,13,KAB. PADANG PARIAMAN,SUMATERA BARAT,WGS 1984,69
CD01050140,Halteu Baso,BSO,13,KAB. AGAM,SUMATERA BARAT,WGS 1984,70
CD01050140,Padang Luar,PDR,13,KAB. AGAM,SUMATERA BARAT,WGS 1984,71
CD01050140,Padang Tarab,-,13,KAB. AGAM,SUMATERA BARAT,WGS 1984,72
CD01050140,Tanjung Alam,-,13,KAB. AGAM,SUMATERA BARAT,WGS 1984,73
